y,x,idea,beta,alpha,z_last,abs_z,adf_pval,nobs,bucket_y,bucket_x,is_bahrain_pair,is_ksa_pair,ksa_cross
KSA 3 3/4 01/21/55,UAE 4.951 07/07/52,Short Y / Long X,0.81,77.9,-1.93,1.93,0.0025,122,IG,IG,False,True,True
ARAMCO 5 7/8 07/17/64,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.7,87.92,-1.93,1.93,0.0061,122,IG,QUASI,False,False,False
KSA 5 1/4 01/16/50,PIFKSA 5 5/8 07/29/34,Short Y / Long X,1.26,3.51,-1.93,1.93,0.127,122,IG,IG,False,True,False
KSA 3 3/4 01/21/55,QATAR 4.4 04/16/50,Short Y / Long X,0.9,70.24,-1.93,1.93,0.137,122,IG,IG,False,True,True
ARAMCO 5 1/4 07/17/34,ARAMCO 5 7/8 07/17/64,Long Y / Short X,0.71,-27.01,1.93,1.93,0.1835,122,IG,IG,False,False,False
PIFKSA 4 7/8 02/14/35,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.5,64.09,-1.92,1.92,0.0035,121,IG,QUASI,False,True,True
KSA 4 3/4 01/16/30,KSA 2 3/4 02/03/32,Long Y / Short X,0.86,8.01,1.92,1.92,0.0191,122,IG,IG,False,True,False
KSA 3 3/4 01/21/55,UAE 3 1/4 10/19/61,Short Y / Long X,0.79,80.14,-1.92,1.92,0.0199,122,IG,IG,False,True,True
KSA 4 1/2 10/26/46,ARAMCO 5 3/8 06/02/35,Short Y / Long X,1.1,16.83,-1.92,1.92,0.1011,122,IG,IG,False,True,True
ARAMCO 3 1/2 04/16/29,QPETRO 1 3/8 09/12/26,Long Y / Short X,0.55,57.74,1.92,1.92,0.1092,122,IG,IG,False,False,False
KSA 5 3/8 01/13/31,DPWDU 4.7 09/30/49,Short Y / Long X,0.47,13.94,-1.92,1.92,0.1746,122,IG,QUASI,False,True,True
UAE 4.951 07/07/52,KSA 3 1/4 11/17/51,Long Y / Short X,1.04,-54.59,1.92,1.92,0.1855,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.84,86.76,-1.91,1.91,0.0037,122,IG,QUASI,False,True,True
KSA 5 3/8 01/13/31,KSA 4 1/2 04/17/30,Short Y / Long X,0.8,26.97,-1.91,1.91,0.0593,122,IG,IG,False,True,False
KSA 4 1/2 10/26/46,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.68,74.11,-1.91,1.91,0.0747,121,IG,QUASI,False,True,True
KSA 2 3/4 02/03/32,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.54,24.12,-1.9,1.9,0.0104,121,IG,QUASI,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 3 3/4 01/21/55,Long Y / Short X,0.9,42.15,1.9,1.9,0.0447,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,QATAR 4.817 03/14/49,Short Y / Long X,0.87,73.13,-1.9,1.9,0.0924,122,IG,IG,False,True,True
EGYPT 8 7/8 05/29/50,EGYPT 7 1/2 02/16/61,Short Y / Long X,1.13,-52.28,-1.9,1.9,0.0949,122,HY,HY,False,False,False
KSA 5 1/2 10/25/32,ESCWPC 4.45 08/01/35,Short Y / Long X,0.39,42.13,-1.9,1.9,0.1725,122,IG,OTHER,False,True,True
KSA 2 1/4 02/02/33,TAQAUH 3.4 04/29/51,Short Y / Long X,0.75,1.93,-1.89,1.89,0.011,122,IG,QUASI,False,True,True
KSA 5 01/18/53,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.65,89.86,-1.89,1.89,0.0203,121,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.67,28.27,-1.89,1.89,0.0429,122,IG,QUASI,False,True,True
ADNOCM 4 1/2 09/11/34,ESCWPC 4.45 08/01/35,Short Y / Long X,0.59,18.61,-1.89,1.89,0.1268,122,IG,OTHER,False,False,False
KSA 5 04/17/49,UAE 2 7/8 10/19/41,Short Y / Long X,0.87,76.11,-1.89,1.89,0.1713,122,IG,IG,False,True,True
PIFKSA 5 1/4 01/29/34,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.79,42.48,-1.88,1.88,0.0004,122,IG,QUASI,False,True,True
TAQAUH 4 3/4 03/09/37,ARAMCO 3 1/4 11/24/50,Long Y / Short X,0.82,-23.12,1.88,1.88,0.002,122,QUASI,IG,False,False,False
MOROC 5 1/2 12/11/42,KUWIB 4.136 10/09/30,Long Y / Short X,0.95,119.01,1.88,1.88,0.0199,122,HY,IG,False,False,False
PIFKSA 5 3/8 10/13/2122,TAQAUH 4 3/4 03/09/37,Short Y / Long X,1.01,113.96,-1.88,1.88,0.0316,122,IG,QUASI,False,True,True
ARAMCO 5 3/8 06/02/35,PIFKSA 5 3/8 10/13/2122,Long Y / Short X,0.74,-41.94,1.88,1.88,0.1178,122,IG,IG,False,True,True
KSA 4 3/4 01/16/30,KSA 4 5/8 10/04/47,Long Y / Short X,0.71,-28.61,1.88,1.88,0.1234,122,IG,IG,False,True,False
PIFKSA 5 1/8 02/14/53,KSA 3 1/4 10/22/30,Short Y / Long X,1.06,96.59,-1.88,1.88,0.1473,96,IG,IG,False,True,False
KSA 5 3/8 01/13/31,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.46,35.94,-1.87,1.87,0.0178,121,IG,QUASI,False,True,True
ARAMCO 5 7/8 07/17/64,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.95,110.88,-1.87,1.87,0.0355,122,IG,QUASI,False,False,False
ARAMCO 3 1/2 04/16/29,QATAR 4 5/8 05/29/29,Long Y / Short X,0.87,41.96,1.87,1.87,0.0532,122,IG,IG,False,False,False
MOROC 4 12/15/50,KSA 4 1/2 04/22/60,Long Y / Short X,0.62,98.19,1.87,1.87,0.092,122,HY,IG,False,True,True
KSA 5 01/18/53,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.73,64.19,-1.87,1.87,0.1514,121,IG,IG,False,True,True
KSA 5 04/17/49,ESCWPC 4.45 08/01/35,Short Y / Long X,0.49,96.46,-1.87,1.87,0.1945,122,IG,OTHER,False,True,True
KSA 5 04/17/49,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.87,74.17,-1.86,1.86,0.0615,122,IG,QUASI,False,True,True
DPWDU 5 5/8 09/25/48,QATAR 9 3/4 06/15/30,Long Y / Short X,1.51,92.9,1.86,1.86,0.1886,122,QUASI,IG,False,False,False
KSA 4 5/8 10/04/47,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.87,73.9,-1.85,1.85,0.0022,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 01/29/54,KSA 3.45 02/02/61,Long Y / Short X,1.13,-19.64,1.85,1.85,0.0121,122,IG,IG,False,True,False
KSA 3 3/4 01/21/55,DPWDU 4.7 09/30/49,Short Y / Long X,0.63,66.31,-1.85,1.85,0.0145,122,IG,QUASI,False,True,True
KSA 5 01/18/53,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.89,79.59,-1.85,1.85,0.0346,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 10/13/2122,QATAR 6.4 01/20/40,Short Y / Long X,1.55,79.93,-1.85,1.85,0.0645,122,IG,IG,False,True,True
KSA 5 3/8 01/13/31,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.45,15.81,-1.85,1.85,0.1116,122,IG,QUASI,False,True,True
KSA 5 3/4 01/16/54,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.67,74.76,-1.85,1.85,0.1454,121,IG,IG,False,True,True
PIFKSA 4 7/8 02/14/35,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.7,55.29,-1.84,1.84,0.0093,122,IG,QUASI,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 5 01/18/53,Long Y / Short X,0.87,48.78,1.84,1.84,0.0222,122,IG,IG,False,True,True
ARAMCO 5 3/4 07/17/54,ARAMCO 4 3/8 04/16/49,Short Y / Long X,1.09,14.07,-1.84,1.84,0.1732,122,IG,IG,False,False,False
KSA 5 3/4 01/16/54,KSA 3.45 02/02/61,Long Y / Short X,1.06,-19.09,1.84,1.84,0.1818,122,IG,IG,False,True,False
EGYPT 7 1/2 02/16/61,EGYPT 8.7002 03/01/49,Long Y / Short X,0.88,52.78,1.83,1.83,0.0,122,HY,HY,False,False,False
QPETRO 1 3/8 09/12/26,TAQAUH 4 3/8 06/22/26,Short Y / Long X,0.78,16.45,-1.83,1.83,0.0016,122,IG,QUASI,False,False,False
PIFKSA 4 7/8 02/14/35,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.51,39.05,-1.83,1.83,0.0045,122,IG,QUASI,False,True,True
ESCWPC 4.45 08/01/35,PIFKSA 5 09/15/35,Long Y / Short X,2.21,-147.81,1.83,1.83,0.0392,122,OTHER,IG,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 4 1/2 10/26/46,Long Y / Short X,0.85,63.0,1.83,1.83,0.0653,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.61,68.29,-1.82,1.82,0.003,122,IG,QUASI,False,True,True
KSA 3.45 02/02/61,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.53,116.56,-1.82,1.82,0.0112,121,IG,QUASI,False,True,True
ARAMCO 5 7/8 07/17/64,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.68,123.76,-1.82,1.82,0.0382,121,IG,QUASI,False,False,False
KSA 3.45 02/02/61,DPWDU 4.7 09/30/49,Short Y / Long X,0.53,92.47,-1.82,1.82,0.0412,122,IG,QUASI,False,True,True
KSA 4 5/8 10/04/47,UAE 2 7/8 10/19/41,Short Y / Long X,0.85,76.35,-1.82,1.82,0.1552,122,IG,IG,False,True,True
EGYPT 8 7/8 05/29/50,EGYPT 9.45 02/04/33,Short Y / Long X,0.92,173.0,-1.82,1.82,0.1599,122,HY,HY,False,False,False
TAQAUH 4 3/8 10/09/31,QATAR 9 3/4 06/15/30,Long Y / Short X,1.19,25.81,1.81,1.81,0.0049,122,QUASI,IG,False,False,False
KSA 2 1/4 02/02/33,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.49,40.26,-1.81,1.81,0.0222,121,IG,QUASI,False,True,True
KSA 5 3/4 01/16/54,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.6,69.58,-1.81,1.81,0.1052,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 01/29/54,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.68,101.13,-1.81,1.81,0.1064,121,IG,QUASI,False,True,True
ARAMCO 5 7/8 07/17/64,TAQAUH 4 10/03/49,Short Y / Long X,1.0,74.26,-1.81,1.81,0.1123,121,IG,QUASI,False,False,False
